frecuencia1,ugen1,frecuencia2,ugen2,frecuencia3,ugen3,clase
17884,3,9772,5,16422,8,0
5520,2,17915,3,19445,11,0
9211,2,14514,2,2764,2,1
13779,10,12059,3,3858,10,1
17391,2,19147,9,10307,0,0
3863,8,2656,9,11510,10,2
3225,10,11405,11,12602,4,2
3208,1,18952,6,8135,1,1
18245,9,18138,2,14207,2,0
14923,11,1081,2,9503,6,3
4472,7,16885,7,10792,6,1
17961,3,14985,9,16446,4,0
13777,8,8437,0,6531,4,3
11017,8,10342,11,12221,8,0
13614,0,19101,9,10300,8,0
9353,11,19842,8,7309,3,1
3703,4,2407,7,4210,5,2
15189,2,11450,9,1335,0,1
19528,5,14519,7,9310,1,0
11849,4,2638,10,12367,4,3
2504,11,11646,0,752,4,1
2452,0,18556,2,11151,11,1
13645,4,3455,4,4022,10,3
1909,5,18417,10,3345,10,1
6882,11,5687,2,13895,1,2
5449,9,17360,4,4541,8,1
19335,10,5403,3,676,3,3
8690,0,6569,2,15461,5,2
5481,3,13870,8,12514,1,0
15387,11,16341,10,13559,5,0
2215,4,8220,0,18095,4,2
14152,4,19491,0,14120,1,0
3966,2,15291,7,2215,1,1
11458,11,2143,11,5251,4,3
6939,1,5525,9,9523,0,2
14631,9,5242,3,19751,9,0
14476,11,12937,11,13711,1,0
16093,2,18702,2,17069,10,0
3623,5,16375,2,3892,5,1
8427,4,14430,1,1082,5,1
1332,5,2621,2,1829,4,2
9062,6,9608,5,8654,3,1
10410,1,16978,10,16648,10,0
4378,7,8266,10,8187,6,2
15573,10,17860,11,13746,0,0
16192,9,16294,8,14057,2,0
6766,8,10470,1,19979,0,0
6133,1,5611,7,11728,2,2
12699,3,7716,5,8606,5,3
12134,5,8958,10,12568,2,3
3039,8,19906,5,12899,0,0
4853,11,1945,4,43,1,2
13555,0,10501,10,10582,5,3
13836,9,14259,8,10190,2,0
10323,10,3759,3,3511,3,3
13144,9,17396,11,15036,3,0
6933,10,17589,4,4978,4,1
15837,1,7788,2,1609,2,3
13924,11,17553,7,19790,9,0
9454,8,6211,0,11351,8,2
19536,9,9129,8,13991,5,3
5779,3,3704,3,8978,8,2
16576,5,19168,1,3143,2,1
16619,7,5455,8,7433,3,3
8876,6,8255,9,10970,2,2
7397,2,1673,6,15501,5,2
12676,9,10590,0,9801,2,3
17880,9,4171,2,11186,9,3
17421,11,6811,4,10283,8,3
16939,4,14079,7,16674,6,0
1800,2,16110,8,3696,4,1
7717,5,15379,11,9424,9,1
1204,9,4544,7,8048,10,2
1577,2,10280,7,13024,2,2
2665,8,18009,5,19726,4,0
18889,0,15524,6,8211,3,0
6539,6,2131,10,8488,3,2
6641,11,7658,4,14430,10,2
10443,2,16177,1,1243,4,1
7532,4,12359,6,5213,10,1
12360,0,9079,0,5599,0,3
11623,6,234,8,5879,4,3
1380,6,2639,8,13334,8,2
5531,7,12447,7,74,5,1
9538,0,2917,7,1547,8,3
5159,4,7179,0,5632,7,2
18406,0,3127,1,14729,2,3
9028,4,14191,8,1069,11,1
19436,8,11378,1,18296,2,0
1046,10,1663,7,9338,5,2
17126,6,15945,0,19318,11,0
546,5,19216,0,13843,11,0
1413,3,7841,8,1197,8,1
7825,7,14728,0,12826,8,0
1208,11,19345,0,2551,1,1
13031,11,2969,11,10429,1,3
1168,7,14090,7,4444,11,1
16635,3,11304,11,14985,10,0
11675,4,18320,2,3115,1,1
19682,10,4736,10,13846,11,3
18331,8,19955,10,18907,9,0
2583,8,464,7,14475,3,2
3121,0,5813,1,7950,0,2
433,10,959,6,14048,5,2
15966,11,3709,1,14087,11,3
15218,3,1441,6,7436,2,3
1557,8,9840,11,8579,4,2
7005,11,16892,1,9940,1,1
16884,8,18815,10,16975,1,0
7628,1,8941,7,19854,6,0
6391,2,382,8,5769,3,2
18511,8,7840,7,18735,0,0
1514,3,9750,10,1808,8,1
4040,10,5154,1,16241,4,2
10306,8,16968,11,773,9,1
175,2,3041,1,17000,0,2
14385,3,5602,10,13283,5,3
13487,11,7799,7,4162,0,3
13121,2,18768,5,18233,5,0
11336,8,1838,8,16648,10,2
17631,2,10828,3,19118,5,0
12577,5,13189,1,18232,1,0
2886,3,14531,6,13775,5,0
10076,1,14873,10,14435,5,0
11177,10,14379,3,6168,9,1
1437,11,15092,3,3346,4,1
5189,10,15279,2,9324,0,1
4441,5,16032,5,18080,2,0
14980,0,728,4,2076,1,3
18342,8,10395,11,10785,4,3
1353,11,13256,8,17433,0,2
8055,10,14767,2,8464,6,1
12629,8,1566,1,15237,11,3
12709,8,1922,0,15539,11,3
16099,0,17656,0,10150,5,0
16940,9,4468,6,3618,7,3
7456,0,19620,10,16204,4,0
19281,1,8923,0,4504,11,3
14732,5,18967,8,2881,1,1
13886,5,7377,3,11588,8,3
4994,7,1675,8,9292,8,2
12884,9,6755,7,2699,4,3
14442,1,16713,8,15350,5,0
18365,11,18222,11,3155,9,1
12599,6,7319,11,14775,10,3
7227,4,14955,5,12981,7,0
10796,11,17180,4,17919,10,0
9918,6,8165,4,616,7,1
12712,7,16941,8,11624,7,0
7074,6,7815,3,12278,3,2
5447,1,12177,3,19783,8,0
15780,8,3384,3,508,7,3
17673,3,15160,10,12937,7,0
13914,11,10148,0,17018,3,0
1293,10,12945,3,4661,9,1
18255,1,18902,9,11213,3,0
17763,5,9425,11,6605,7,3
2216,8,8118,0,18360,1,2
14159,9,11091,11,10723,10,0
5285,2,15545,8,12467,7,0
13196,7,13741,8,2003,8,1
8846,7,17810,8,55,1,1
8328,8,156,5,11237,11,2
11089,8,15323,6,2041,9,1
11578,11,290,9,11177,11,3
14394,1,9878,0,2389,8,3
6172,8,9158,8,17515,2,2
17962,1,3601,3,17060,3,3
2929,6,10118,11,16091,8,2
19377,1,672,3,5949,7,3
12260,9,1314,2,7338,2,3
18692,4,13346,6,4712,2,3
15576,5,14567,2,16052,7,0
13502,0,10419,1,5591,0,3
15165,0,8906,5,4028,5,3
19129,9,11171,6,3642,8,3
15907,10,17002,10,13761,6,0
6332,5,1431,4,9923,0,2
10017,3,14999,11,9852,9,1
15171,3,14008,11,4050,6,1
6381,11,4922,2,8902,3,2
6417,8,1584,0,2418,5,2
4497,10,4856,7,5088,9,2
18085,3,12027,11,12405,5,0
6968,6,6474,0,1749,1,1
18972,4,1558,9,2876,0,3
10535,3,16225,7,18894,1,0
199,1,13543,3,18514,11,2
7489,7,6003,10,15357,10,2
7153,5,2247,4,1117,3,2
8364,11,4026,11,2401,6,3
12061,11,571,7,5234,9,3
8183,1,15395,10,3648,4,1
9013,5,2747,8,8391,11,2
5308,1,9470,9,12176,5,2
7438,4,593,5,12738,10,2
8267,10,11349,8,14018,1,0
4159,7,12337,0,16716,6,0
19457,6,9803,7,4147,3,3
8256,1,11199,4,5378,7,1
15572,8,11665,4,4429,5,3
18108,10,13538,0,4476,8,3
7099,1,18215,11,19217,0,0
2099,5,9380,1,18009,2,2
18616,5,16840,0,15307,2,0
6516,8,7693,4,18897,11,2
19215,3,13769,9,10668,10,0
16076,8,1718,9,7927,4,3
18129,5,8443,4,11847,0,3
18759,1,17543,8,16934,8,0
17966,2,9311,3,14568,4,3
11370,10,9886,1,15996,5,0
5863,2,757,10,17463,1,2
15451,0,1279,4,4458,4,3
4235,8,7778,11,16324,0,2
11619,5,13526,3,13348,8,0
17052,4,11797,11,5179,0,3
2758,7,11001,11,4049,4,1
1376,0,7892,4,9858,3,2
9720,2,2404,6,13640,9,2
9463,11,7125,2,16737,5,2
9640,0,5843,7,14898,0,2
17565,7,1638,7,18629,11,3
16302,10,15588,8,14728,3,0
4786,8,9892,4,10059,11,2
14767,4,8333,9,8758,3,3
11491,9,3041,11,1587,1,3
8086,7,12960,7,1768,5,1
10219,10,17262,1,6035,11,1
16800,9,543,1,15327,10,3
8646,0,3847,8,19564,3,2
12094,7,2088,7,15088,7,3
13555,3,19116,9,69,8,1
10947,3,3063,1,7752,11,3
9578,9,5295,10,16716,1,2
10460,1,3516,1,5375,3,3
9183,11,170,11,18267,10,2
11202,6,2514,4,18552,2,2
16499,4,7002,2,4074,6,3
13091,11,17891,7,13373,7,0
6900,9,13873,6,11166,1,0
4613,0,1838,4,4345,9,2
15031,10,9328,2,7779,6,3
1737,9,10875,10,1144,0,1
9089,5,15276,2,530,0,1
811,5,6504,4,3270,9,2
18244,5,11956,7,7540,9,3
3390,6,16896,5,4160,2,1
202,0,683,5,15646,5,2
2974,1,12142,3,7264,7,1
340,7,9271,9,9409,4,2
5351,3,11805,8,2028,6,1
10118,2,16429,3,3668,11,1
12189,7,16036,5,11913,3,0
17165,5,14299,11,2204,4,1
2804,9,12694,4,5760,3,1
2733,8,14659,8,7178,9,1
12861,2,16832,1,2199,6,1
14572,8,11927,5,4023,6,1
19939,6,8068,9,12682,6,3
11335,11,18565,0,11532,2,0
17367,4,15479,0,2460,5,1
11818,9,1276,4,1216,8,3
17729,7,17281,1,2439,2,1
6190,6,11798,0,9909,11,1
8885,5,11689,10,4842,10,1
15516,6,10781,10,10084,5,3
11827,9,9984,1,18060,2,0
10180,5,4756,5,10454,10,2
6969,9,5345,10,16550,6,2
13473,3,10742,0,9244,3,3
14826,5,10713,5,240,2,1
11705,7,3047,7,8357,11,3
19767,4,18073,4,12113,6,0
16405,9,5325,5,18077,2,3
15857,5,731,6,2703,10,3
17682,9,6532,7,7054,6,3
9819,7,12142,6,12378,8,0
3655,5,17368,2,7424,7,1
6779,6,11372,6,8250,4,1
12055,0,8584,10,2875,9,3
17745,5,17458,2,16099,4,0
10313,10,3710,1,14407,9,2
15088,5,8086,2,10629,7,3
9629,10,2830,11,4796,5,3
8838,8,10048,8,14533,6,0
13675,4,8656,3,11369,5,3
153,0,2810,0,11477,5,2
17761,5,7725,5,13792,2,3
15201,9,19699,3,16843,8,0
8625,8,14957,5,10323,1,1
19080,5,15987,1,14685,2,0
7578,9,16323,7,5928,4,1
16195,8,4361,1,18740,3,3
19974,4,12588,0,4820,1,3
9032,2,19732,3,9521,2,1
223,9,2467,7,1414,7,2
15180,4,5032,9,19789,0,0
7398,1,1751,3,18879,8,2
8661,3,1816,2,1177,3,3
6651,5,13818,10,5019,10,1
14552,7,1175,9,18496,5,3
18390,7,19520,6,13140,1,0
11680,0,15528,7,7910,4,1
11164,5,15012,9,7995,2,1
14830,4,10339,10,1495,3,1
16179,9,6578,1,2174,0,3
17234,1,15420,7,10789,4,0
5138,3,2998,5,15259,9,2
14535,6,9804,2,15132,5,0
3923,2,6350,2,473,6,1
18295,9,13674,10,1917,10,1
11140,7,19162,11,10044,9,0
11433,8,18243,0,5391,3,1
16045,8,7955,0,3650,0,3
5884,8,1751,0,1274,7,2
14188,6,11339,3,4090,8,1
13664,4,155,8,18265,0,3
7131,3,16575,9,14513,2,0
9052,9,19722,7,4728,6,1
2844,1,936,5,5849,6,2
11694,9,13281,6,9362,2,1
12324,5,9254,8,17978,0,0
18345,11,16618,6,12411,2,0
16281,6,13396,0,12812,4,0
12122,8,18255,9,6019,3,1
8437,4,7996,2,14742,11,2
3794,4,8583,6,10591,3,2
7123,6,14848,1,729,3,1
1897,8,7688,10,10403,10,2
8588,6,18417,3,11245,8,0
4625,4,12201,11,18118,4,0
18674,6,19634,4,4937,8,1
15670,1,18954,7,15766,8,0
4093,9,13588,11,1450,7,1
3779,8,10994,3,10153,8,2
3910,5,13538,10,7414,9,1
13399,8,3895,1,11136,3,3
13861,4,7289,9,13097,10,3
12735,8,9738,10,6178,11,3
13957,1,4274,0,16226,1,3
15804,3,7116,11,9152,0,3
14070,8,8553,0,13855,6,3
12944,9,3401,9,11568,7,3
17322,6,10096,2,3647,9,3
7861,3,2307,11,13592,9,2
2713,5,17730,11,5716,4,1
5215,9,7588,4,1067,1,1
18564,3,6654,7,6671,0,3
12711,11,11578,0,8275,5,1
18094,9,11884,7,9401,4,3
12684,6,18977,11,2661,3,1
2763,4,875,9,1025,8,2
11701,4,9017,4,13463,4,0
15563,4,10004,0,18863,4,0
3268,11,17832,5,11952,5,1
4099,4,5085,6,7922,3,2
4556,6,8608,9,9764,7,2
19434,4,2983,2,15745,10,3
15172,7,952,8,6167,10,3
8445,2,17591,9,14539,6,0
13006,6,14033,5,14502,11,0
10813,5,1918,6,10443,4,3
9296,6,14547,1,9728,8,1
5259,9,19393,0,13968,8,0
10205,7,2375,2,2421,7,3
8559,3,11243,7,18177,0,0
2372,0,17476,9,3774,6,1
7552,7,1619,0,10097,9,2
16884,8,19096,3,5078,5,1
18552,4,18301,10,18182,3,0
3196,1,1443,8,16515,4,2
8003,3,638,0,9728,10,2
12305,2,15047,3,6815,5,1
11098,7,8784,8,1227,9,1
15597,0,9691,5,4678,4,3
10486,0,13169,9,18339,9,0
19289,7,16010,5,4947,6,1
12055,2,301,0,4423,4,3
15429,10,19504,8,15225,1,0
8270,0,13539,10,4613,2,1
14441,10,17406,2,4939,0,1
695,3,2973,11,18916,9,2
11740,1,6935,8,14192,2,3
9643,1,13329,3,15665,7,0
6574,5,17994,1,12143,7,0
17940,10,13767,7,17080,0,0
13575,7,18992,7,13642,5,0
11345,3,16556,5,18951,5,0
19747,11,9902,10,6072,1,3
2874,2,17784,1,5480,0,1
8064,6,568,4,1698,1,3
15550,2,7210,0,19752,2,0
15847,7,746,5,13340,7,3
11907,10,15777,8,5193,2,1
18456,4,11788,3,7104,9,3
6146,7,6087,1,3130,7,1
13174,7,11465,8,11062,10,0
19371,3,12922,7,978,0,3
2360,3,9115,6,16104,6,2
3900,1,3525,8,5697,3,2
9851,7,12675,4,12358,7,0
3174,8,15427,4,8111,9,1
20,7,3965,3,434,0,2
14601,4,2326,7,16186,6,3
7148,5,4499,0,1941,9,2
234,10,16532,1,10578,2,1
5461,3,16515,4,16436,9,0
5251,7,9093,2,8751,5,2
19951,3,13407,3,4295,6,3
4157,7,5461,0,6548,11,2
17360,3,3439,2,6006,10,3
6216,2,11580,2,19740,10,0
8218,8,721,6,2020,4,3
14836,4,5428,2,3249,9,3
6077,11,1000,4,12804,3,2
12578,4,6137,1,15297,7,3
15822,1,6590,4,2597,9,3
14411,4,3532,10,18978,2,3
17824,5,15831,8,17385,3,0
8397,2,12333,1,5117,10,1
7244,3,2369,9,1988,1,2
334,6,2854,3,5745,6,2
19528,0,7965,10,14834,1,3
3166,2,18571,2,14748,6,0
3672,1,13021,11,9068,0,1
15380,10,12685,2,14866,7,0
1821,3,14491,4,4027,8,1
15584,3,16356,2,17872,5,0
4383,6,11729,6,13988,1,2
14272,6,1019,10,13373,5,3
11216,7,2723,4,12290,4,3
470,9,6269,0,12175,6,2
11130,4,5740,11,15128,7,2
7979,2,8645,3,6863,5,1
15618,4,1024,3,1998,7,3
809,0,16216,3,10486,2,1
1324,2,7117,8,2801,4,2
9372,5,17811,5,7198,3,1
19136,2,14391,4,16564,2,0
2808,11,1603,5,11347,1,2
10998,2,3391,9,16528,9,2
14054,5,17079,7,19939,10,0
18846,6,15038,3,6714,8,3
9219,2,15470,3,979,1,1
15025,7,10887,6,5021,4,3
6894,5,15538,1,1180,4,1
7295,6,8776,9,16262,4,2
2118,11,7684,2,2177,11,1
6612,5,5238,8,8589,8,2
1653,0,2013,2,6477,6,2
18294,2,18445,2,7348,2,0
6277,0,10274,3,2151,7,1
19338,7,16505,9,14638,10,0
8392,0,15374,0,6818,1,1
7468,11,7306,3,15834,6,2
18665,0,4962,7,12603,5,3
2982,11,7809,2,9631,10,2
15181,5,18585,3,17329,2,0
2862,11,17791,8,14006,5,0
3999,4,11200,6,17005,10,2
4039,10,742,3,17881,5,2
7653,0,16607,10,5827,9,1
18116,11,12532,2,12046,2,0
5177,7,10944,1,19230,3,0
15111,8,3528,5,16678,11,3
4411,8,5521,3,10166,5,2
10113,5,14425,3,8664,4,1
1755,7,14818,5,12205,3,1
10601,5,10084,0,18567,3,0
1405,2,11726,9,16302,9,2
11383,3,19286,4,3759,8,1
4921,8,1007,4,3143,7,2
10700,11,12042,4,12125,11,0
6760,6,18499,11,9948,3,1
4790,5,3579,2,8106,4,2
15276,5,9899,10,2319,6,3
2412,3,19082,4,12097,6,1
10254,5,12205,9,19822,3,0
13265,0,17139,11,6733,4,1
135,1,897,9,15665,9,2
14478,0,16545,9,17959,2,0
18449,8,15077,4,18546,2,0
2753,10,14841,2,10504,11,1
1759,2,2209,2,9660,6,2
14589,8,8612,3,14807,0,0
8712,8,12998,3,19664,7,0
19536,10,16745,10,6835,5,0
1350,11,463,11,4347,3,2
11425,8,16383,0,18622,10,0
16881,1,15946,1,19298,3,0
18790,4,5240,4,18317,8,3
16324,8,14951,10,14223,1,0
19097,10,16255,6,5787,8,1
4073,7,6045,3,17026,7,2
4734,3,1197,0,3035,6,2
5158,10,13354,4,11483,8,1
15279,4,12904,4,14302,0,0
12242,1,6647,11,1283,11,3
16651,4,1201,0,17913,4,3
14314,1,6642,1,5132,6,3
3182,2,9917,7,5562,3,1
1617,11,13701,4,3241,10,1
15764,11,12943,7,16980,4,0
12619,9,16858,5,14302,3,0
7450,7,1132,0,16725,5,2
19560,4,8357,4,2071,2,3
1442,2,405,2,5610,5,2
16270,3,5252,3,18186,0,3
2544,4,11851,7,6442,4,1
3009,5,12206,5,3566,5,1
14648,8,18544,7,18593,7,0
2450,1,6134,4,6471,6,2
2103,4,15801,5,1231,8,1
11450,7,15425,4,16605,7,0
15925,6,148,2,14521,3,3
19929,5,10191,5,502,5,3
6678,6,962,7,18265,2,2
5811,5,10559,3,13783,1,2
16974,0,5005,11,8952,8,3
11786,11,10463,11,17984,11,0
16460,4,4238,4,2527,1,3
17726,4,3745,0,7836,0,3
17334,6,16746,7,7590,3,0
10513,7,7914,7,11470,0,3
14680,5,19469,0,6061,5,1
16670,4,6607,11,2077,5,3
1707,11,10888,9,6282,6,1
10716,9,11032,2,6370,4,1
9651,0,9537,10,7051,0,1
19753,4,16811,8,15190,5,0
15955,3,9117,6,2552,0,3
8140,2,6013,8,18173,10,2
18423,5,4052,9,7419,11,3
9214,10,19135,10,4378,8,1
13221,5,11402,7,3487,5,1
5308,8,19067,6,11154,1,1
15272,1,5192,0,2088,7,3
5712,6,10265,2,898,2,1
448,9,14230,8,8902,8,1
298,5,12541,6,6446,7,1
1883,6,5974,3,2752,1,2
2797,7,8346,0,11454,11,2
13920,9,5576,0,15231,11,3
12814,8,8942,7,13311,5,0
15567,9,14787,10,4700,5,1
13288,5,19848,10,13964,4,0
9834,0,18382,3,11669,5,0
10243,11,3617,5,2831,8,3
6486,11,18429,8,7577,0,1
9348,0,7974,11,19334,1,0
3097,4,7021,6,17117,10,2
17330,2,9338,9,18140,5,0
13056,5,5511,4,15990,5,3
15752,3,18309,11,3192,11,1
4778,5,3414,5,7713,2,2
3010,3,6510,4,10454,5,2
4163,8,12968,5,6130,9,1
1687,6,3672,7,10144,0,2
9682,11,15169,4,12602,9,0
17701,7,19929,11,14966,0,0
13549,10,18680,11,11473,6,0
14982,1,18190,0,7803,9,1
83,5,10089,2,8494,2,2
2377,11,19644,3,14330,9,0
316,1,2857,9,19419,6,2
8770,2,6235,8,5180,11,3
1563,8,13941,3,9065,6,1
2114,6,7817,10,6820,3,2
19557,7,17141,10,10633,8,0
435,5,13579,7,14862,4,2
2666,8,1104,10,5060,5,2
6562,4,14486,5,7697,11,1
10195,7,11130,0,21,4,1
8038,10,18403,11,2275,6,1
4354,8,5871,1,1489,7,1
14858,4,3234,11,15793,3,3
3898,7,15510,9,14879,7,0
5763,7,8703,4,14973,9,2
3670,7,6398,11,5802,8,2
13959,10,2385,10,6215,5,3
2797,9,5122,8,14110,10,2
2002,2,8633,5,8538,6,2
4620,9,12634,2,19662,9,0
4411,3,16841,5,13025,4,0
2251,5,16263,4,14699,7,0
18042,11,15773,10,10668,3,0
11197,2,2686,4,18832,9,2
8616,4,12383,3,18082,7,0
17704,3,11786,2,12876,3,0
16241,9,4703,5,19064,4,3
8295,5,980,5,19594,8,2
11863,2,13652,1,6747,11,1
7801,6,18482,6,14591,0,0
19673,4,7701,10,1610,1,3
12075,7,1891,1,5557,11,3
8555,11,11855,3,18926,8,0
13383,1,1305,6,18980,4,3
6377,11,232,2,16332,3,2
17544,11,9458,11,14022,8,3
12722,5,14334,9,5078,4,1
3513,10,3549,5,17464,7,2
14541,0,13651,4,17397,1,0
11222,0,9875,9,4256,5,1
4948,10,19178,11,4010,9,1
12004,10,1237,11,14429,2,3
12822,7,15323,9,17433,7,0
4398,0,1057,2,16813,6,2
7279,7,10737,5,15456,5,0
17202,5,988,0,5158,3,3
2698,10,9956,4,9051,10,2
9049,7,19072,4,831,9,1
875,1,7743,0,9511,8,2
2341,2,15710,1,7616,8,1
5661,3,11351,0,9092,1,1
18459,11,16458,10,19860,8,0
5691,4,9522,11,625,4,1
7972,3,4710,7,4217,10,2
14041,10,333,1,317,1,3
9588,9,5084,4,17658,7,2
16652,4,8576,9,15131,11,3
13239,5,13264,5,11110,0,0
16978,1,19564,6,13104,5,0
17543,5,8077,6,11046,8,3
4410,6,7692,1,13877,1,2
19073,2,11625,5,8519,7,3
19574,2,18139,4,4939,2,1
18426,11,11490,11,13534,11,0
7424,8,7986,0,665,2,1
15001,1,8595,0,19257,6,0
16845,4,1183,5,14269,4,3
8080,1,2710,11,15158,2,2
9971,0,14736,4,9249,6,1
7454,11,9080,4,11201,7,2
4552,1,17917,9,14983,3,0
18834,9,1432,3,16015,4,3
2276,7,16691,7,5907,1,1
8739,8,19334,10,14620,0,0
10299,0,8023,8,2274,11,1
13888,3,14542,0,18096,5,0
13968,0,2269,11,6837,10,3
18781,11,10428,6,3115,11,3
19077,7,16110,8,5592,2,1
5512,11,8643,3,7571,1,2
3032,11,16750,2,4083,6,1
5777,5,7802,10,18903,8,2
4184,6,2121,5,9849,10,2
16811,11,9157,10,2630,7,3
14070,0,17090,10,18966,9,0
11444,5,8701,1,13583,6,0
6039,5,12965,2,187,5,1
16844,3,8467,5,1848,11,3
6299,6,6089,3,12449,5,2
3889,11,1024,3,1812,10,2
14266,2,14384,11,3315,6,1
8367,4,8562,9,3589,1,1
14643,3,11520,9,8761,0,3
4650,8,13926,6,3692,9,1
11583,3,276,1,2773,1,3
5869,9,7738,0,15163,9,2
18559,2,8992,0,2137,6,3
5776,8,19589,4,2053,0,1
6052,9,14497,10,11237,7,1
10358,9,18718,8,18667,6,0
1873,8,740,6,14023,6,2
13277,10,11003,5,13373,9,0
19923,9,11251,1,8606,8,3
14711,10,5911,2,8984,6,3
141,6,9271,9,19900,3,2
1284,0,587,4,6672,0,2
14658,11,10457,9,15752,10,0
14675,0,18667,5,942,10,1
9743,6,2906,3,456,9,3
5000,4,16564,10,15018,8,0
17511,7,7222,6,2346,11,3
9934,9,14409,0,14965,7,0
766,1,796,3,8620,3,2
15071,5,3967,8,7850,0,3
11851,10,15987,1,10993,7,0
10067,2,17192,6,6132,5,1
4241,2,16819,4,10802,9,1
5997,8,19120,4,7620,9,1
3110,1,16131,1,16240,11,0
19675,3,17324,11,6599,1,0
11635,2,11393,11,18806,11,0
18790,11,8917,5,6717,1,3
2068,5,16805,5,14598,7,0
6283,0,6865,9,16813,11,2
