frecuencia1,ugen1,frecuencia2,ugen2,frecuencia3,ugen3
670,11,17931,10,12644,6
16631,0,537,10,4150,8
13339,1,8067,9,15309,11
15053,2,10942,4,2160,5
7290,1,11821,5,8542,8
14253,1,1226,9,514,9
12749,9,1364,10,7462,1
10110,9,9926,9,6927,6
18363,1,8470,1,14013,1
11061,3,822,5,19357,1
2524,6,7923,6,11704,10
16305,11,7191,6,8521,3
1631,0,1587,2,9487,6
2737,10,49,6,12016,2
10284,9,16333,1,9105,3
15980,6,12849,2,18778,9
11462,4,11168,5,9652,11
261,4,4219,6,10744,1
5070,11,11534,2,16517,4
1586,4,10405,0,14527,0
5097,5,9826,8,14617,8
5844,2,15482,2,2483,4
15782,0,16868,5,5359,11
8559,9,6680,6,14690,11
5559,6,6848,5,15393,0
17310,9,5640,8,16711,4
13334,2,4772,6,17760,1
15517,9,2547,6,10529,11
10571,5,14540,0,6351,2
4354,10,1187,0,8822,3
16270,5,6590,11,13234,2
17825,4,16601,9,932,0
12519,5,1446,1,16432,9
12314,10,11608,9,15171,0
9347,6,10946,9,13786,9
16658,10,6198,1,9361,11
100,7,13717,7,12794,8
14717,9,19034,10,18704,11
1087,6,12592,4,4139,2
7301,5,7015,10,19329,10
6969,2,6141,6,18435,6
4685,4,18661,10,1781,11
1635,5,17063,3,4244,4
12271,3,16880,11,5289,8
16816,10,14039,1,16567,10
9490,5,11805,5,9607,11
18550,11,290,4,18600,2
18103,0,9134,4,7423,8
14308,3,9342,8,6433,5
3814,2,7677,9,12948,10
12399,0,11077,4,6532,11
14604,6,10061,8,10885,8
17884,3,9772,5,16422,8
5520,2,17915,3,19445,11
9211,2,14514,2,2764,2
13779,10,12059,3,3858,10
17391,2,19147,9,10307,0
3863,8,2656,9,11510,10
3225,10,11405,11,12602,4
3208,1,18952,6,8135,1
18245,9,18138,2,14207,2
14923,11,1081,2,9503,6
4472,7,16885,7,10792,6
17961,3,14985,9,16446,4
13777,8,8437,0,6531,4
11017,8,10342,11,12221,8
13614,0,19101,9,10300,8
9353,11,19842,8,7309,3
3703,4,2407,7,4210,5
15189,2,11450,9,1335,0
19528,5,14519,7,9310,1
11849,4,2638,10,12367,4
2504,11,11646,0,752,4
2452,0,18556,2,11151,11
13645,4,3455,4,4022,10
1909,5,18417,10,3345,10
6882,11,5687,2,13895,1
5449,9,17360,4,4541,8
19335,10,5403,3,676,3
8690,0,6569,2,15461,5
5481,3,13870,8,12514,1
15387,11,16341,10,13559,5
2215,4,8220,0,18095,4
14152,4,19491,0,14120,1
3966,2,15291,7,2215,1
11458,11,2143,11,5251,4
6939,1,5525,9,9523,0
14631,9,5242,3,19751,9
14476,11,12937,11,13711,1
16093,2,18702,2,17069,10
3623,5,16375,2,3892,5
8427,4,14430,1,1082,5
1332,5,2621,2,1829,4
9062,6,9608,5,8654,3
10410,1,16978,10,16648,10
4378,7,8266,10,8187,6
15573,10,17860,11,13746,0
16192,9,16294,8,14057,2
6766,8,10470,1,19979,0
6133,1,5611,7,11728,2
12699,3,7716,5,8606,5
12134,5,8958,10,12568,2
3039,8,19906,5,12899,0
4853,11,1945,4,43,1
13555,0,10501,10,10582,5
13836,9,14259,8,10190,2
10323,10,3759,3,3511,3
13144,9,17396,11,15036,3
6933,10,17589,4,4978,4
15837,1,7788,2,1609,2
13924,11,17553,7,19790,9
9454,8,6211,0,11351,8
19536,9,9129,8,13991,5
5779,3,3704,3,8978,8
16576,5,19168,1,3143,2
16619,7,5455,8,7433,3
8876,6,8255,9,10970,2
7397,2,1673,6,15501,5
12676,9,10590,0,9801,2
17880,9,4171,2,11186,9
17421,11,6811,4,10283,8
16939,4,14079,7,16674,6
1800,2,16110,8,3696,4
7717,5,15379,11,9424,9
1204,9,4544,7,8048,10
1577,2,10280,7,13024,2
2665,8,18009,5,19726,4
18889,0,15524,6,8211,3
6539,6,2131,10,8488,3
6641,11,7658,4,14430,10
10443,2,16177,1,1243,4
7532,4,12359,6,5213,10
12360,0,9079,0,5599,0
11623,6,234,8,5879,4
1380,6,2639,8,13334,8
5531,7,12447,7,74,5
9538,0,2917,7,1547,8
5159,4,7179,0,5632,7
18406,0,3127,1,14729,2
9028,4,14191,8,1069,11
19436,8,11378,1,18296,2
1046,10,1663,7,9338,5
17126,6,15945,0,19318,11
546,5,19216,0,13843,11
1413,3,7841,8,1197,8
7825,7,14728,0,12826,8
1208,11,19345,0,2551,1
13031,11,2969,11,10429,1
1168,7,14090,7,4444,11
16635,3,11304,11,14985,10
11675,4,18320,2,3115,1
19682,10,4736,10,13846,11
18331,8,19955,10,18907,9
2583,8,464,7,14475,3
3121,0,5813,1,7950,0
433,10,959,6,14048,5
15966,11,3709,1,14087,11
15218,3,1441,6,7436,2
1557,8,9840,11,8579,4
7005,11,16892,1,9940,1
16884,8,18815,10,16975,1
7628,1,8941,7,19854,6
6391,2,382,8,5769,3
18511,8,7840,7,18735,0
1514,3,9750,10,1808,8
4040,10,5154,1,16241,4
10306,8,16968,11,773,9
175,2,3041,1,17000,0
14385,3,5602,10,13283,5
13487,11,7799,7,4162,0
13121,2,18768,5,18233,5
11336,8,1838,8,16648,10
17631,2,10828,3,19118,5
12577,5,13189,1,18232,1
2886,3,14531,6,13775,5
10076,1,14873,10,14435,5
11177,10,14379,3,6168,9
1437,11,15092,3,3346,4
5189,10,15279,2,9324,0
4441,5,16032,5,18080,2
14980,0,728,4,2076,1
18342,8,10395,11,10785,4
1353,11,13256,8,17433,0
8055,10,14767,2,8464,6
12629,8,1566,1,15237,11
12709,8,1922,0,15539,11
16099,0,17656,0,10150,5
16940,9,4468,6,3618,7
7456,0,19620,10,16204,4
19281,1,8923,0,4504,11
14732,5,18967,8,2881,1
13886,5,7377,3,11588,8
4994,7,1675,8,9292,8
12884,9,6755,7,2699,4
14442,1,16713,8,15350,5
18365,11,18222,11,3155,9
12599,6,7319,11,14775,10
7227,4,14955,5,12981,7
10796,11,17180,4,17919,10
9918,6,8165,4,616,7
12712,7,16941,8,11624,7
7074,6,7815,3,12278,3
5447,1,12177,3,19783,8
15780,8,3384,3,508,7
17673,3,15160,10,12937,7
13914,11,10148,0,17018,3
1293,10,12945,3,4661,9
18255,1,18902,9,11213,3
17763,5,9425,11,6605,7
2216,8,8118,0,18360,1
14159,9,11091,11,10723,10
5285,2,15545,8,12467,7
13196,7,13741,8,2003,8
8846,7,17810,8,55,1
8328,8,156,5,11237,11
11089,8,15323,6,2041,9
11578,11,290,9,11177,11
14394,1,9878,0,2389,8
6172,8,9158,8,17515,2
17962,1,3601,3,17060,3
2929,6,10118,11,16091,8
19377,1,672,3,5949,7
12260,9,1314,2,7338,2
18692,4,13346,6,4712,2
15576,5,14567,2,16052,7
13502,0,10419,1,5591,0
15165,0,8906,5,4028,5
19129,9,11171,6,3642,8
15907,10,17002,10,13761,6
6332,5,1431,4,9923,0
10017,3,14999,11,9852,9
15171,3,14008,11,4050,6
6381,11,4922,2,8902,3
6417,8,1584,0,2418,5
4497,10,4856,7,5088,9
18085,3,12027,11,12405,5
6968,6,6474,0,1749,1
18972,4,1558,9,2876,0
10535,3,16225,7,18894,1
199,1,13543,3,18514,11
7489,7,6003,10,15357,10
7153,5,2247,4,1117,3
8364,11,4026,11,2401,6
12061,11,571,7,5234,9
8183,1,15395,10,3648,4
9013,5,2747,8,8391,11
5308,1,9470,9,12176,5
7438,4,593,5,12738,10
8267,10,11349,8,14018,1
4159,7,12337,0,16716,6
19457,6,9803,7,4147,3
8256,1,11199,4,5378,7
15572,8,11665,4,4429,5
18108,10,13538,0,4476,8
7099,1,18215,11,19217,0
2099,5,9380,1,18009,2
18616,5,16840,0,15307,2
6516,8,7693,4,18897,11
19215,3,13769,9,10668,10
16076,8,1718,9,7927,4
18129,5,8443,4,11847,0
18759,1,17543,8,16934,8
17966,2,9311,3,14568,4
11370,10,9886,1,15996,5
5863,2,757,10,17463,1
15451,0,1279,4,4458,4
4235,8,7778,11,16324,0
11619,5,13526,3,13348,8
17052,4,11797,11,5179,0
2758,7,11001,11,4049,4
1376,0,7892,4,9858,3
9720,2,2404,6,13640,9
9463,11,7125,2,16737,5
9640,0,5843,7,14898,0
17565,7,1638,7,18629,11
16302,10,15588,8,14728,3
4786,8,9892,4,10059,11
14767,4,8333,9,8758,3
11491,9,3041,11,1587,1
8086,7,12960,7,1768,5
10219,10,17262,1,6035,11
16800,9,543,1,15327,10
8646,0,3847,8,19564,3
12094,7,2088,7,15088,7
13555,3,19116,9,69,8
10947,3,3063,1,7752,11
9578,9,5295,10,16716,1
10460,1,3516,1,5375,3
9183,11,170,11,18267,10
11202,6,2514,4,18552,2
16499,4,7002,2,4074,6
13091,11,17891,7,13373,7
6900,9,13873,6,11166,1
4613,0,1838,4,4345,9
15031,10,9328,2,7779,6
1737,9,10875,10,1144,0
9089,5,15276,2,530,0
811,5,6504,4,3270,9
18244,5,11956,7,7540,9
3390,6,16896,5,4160,2
202,0,683,5,15646,5
2974,1,12142,3,7264,7
340,7,9271,9,9409,4
5351,3,11805,8,2028,6
10118,2,16429,3,3668,11
12189,7,16036,5,11913,3
17165,5,14299,11,2204,4
2804,9,12694,4,5760,3
2733,8,14659,8,7178,9
12861,2,16832,1,2199,6
14572,8,11927,5,4023,6
19939,6,8068,9,12682,6
11335,11,18565,0,11532,2
17367,4,15479,0,2460,5
11818,9,1276,4,1216,8
17729,7,17281,1,2439,2
6190,6,11798,0,9909,11
8885,5,11689,10,4842,10
15516,6,10781,10,10084,5
11827,9,9984,1,18060,2
10180,5,4756,5,10454,10
6969,9,5345,10,16550,6
13473,3,10742,0,9244,3
14826,5,10713,5,240,2
11705,7,3047,7,8357,11
19767,4,18073,4,12113,6
16405,9,5325,5,18077,2
15857,5,731,6,2703,10
17682,9,6532,7,7054,6
9819,7,12142,6,12378,8
3655,5,17368,2,7424,7
6779,6,11372,6,8250,4
12055,0,8584,10,2875,9
17745,5,17458,2,16099,4
10313,10,3710,1,14407,9
15088,5,8086,2,10629,7
9629,10,2830,11,4796,5
8838,8,10048,8,14533,6
13675,4,8656,3,11369,5
153,0,2810,0,11477,5
17761,5,7725,5,13792,2
15201,9,19699,3,16843,8
8625,8,14957,5,10323,1
19080,5,15987,1,14685,2
7578,9,16323,7,5928,4
16195,8,4361,1,18740,3
19974,4,12588,0,4820,1
9032,2,19732,3,9521,2
223,9,2467,7,1414,7
15180,4,5032,9,19789,0
7398,1,1751,3,18879,8
8661,3,1816,2,1177,3
6651,5,13818,10,5019,10
14552,7,1175,9,18496,5
18390,7,19520,6,13140,1
11680,0,15528,7,7910,4
11164,5,15012,9,7995,2
14830,4,10339,10,1495,3
16179,9,6578,1,2174,0
17234,1,15420,7,10789,4
5138,3,2998,5,15259,9
14535,6,9804,2,15132,5
3923,2,6350,2,473,6
18295,9,13674,10,1917,10
11140,7,19162,11,10044,9
11433,8,18243,0,5391,3
16045,8,7955,0,3650,0
5884,8,1751,0,1274,7
14188,6,11339,3,4090,8
13664,4,155,8,18265,0
7131,3,16575,9,14513,2
9052,9,19722,7,4728,6
2844,1,936,5,5849,6
11694,9,13281,6,9362,2
12324,5,9254,8,17978,0
18345,11,16618,6,12411,2
16281,6,13396,0,12812,4
12122,8,18255,9,6019,3
8437,4,7996,2,14742,11
3794,4,8583,6,10591,3
7123,6,14848,1,729,3
1897,8,7688,10,10403,10
8588,6,18417,3,11245,8
4625,4,12201,11,18118,4
18674,6,19634,4,4937,8
15670,1,18954,7,15766,8
4093,9,13588,11,1450,7
3779,8,10994,3,10153,8
3910,5,13538,10,7414,9
13399,8,3895,1,11136,3
13861,4,7289,9,13097,10
12735,8,9738,10,6178,11
13957,1,4274,0,16226,1
15804,3,7116,11,9152,0
14070,8,8553,0,13855,6
12944,9,3401,9,11568,7
17322,6,10096,2,3647,9
7861,3,2307,11,13592,9
2713,5,17730,11,5716,4
5215,9,7588,4,1067,1
18564,3,6654,7,6671,0
12711,11,11578,0,8275,5
18094,9,11884,7,9401,4
12684,6,18977,11,2661,3
2763,4,875,9,1025,8
11701,4,9017,4,13463,4
15563,4,10004,0,18863,4
3268,11,17832,5,11952,5
4099,4,5085,6,7922,3
4556,6,8608,9,9764,7
19434,4,2983,2,15745,10
15172,7,952,8,6167,10
8445,2,17591,9,14539,6
13006,6,14033,5,14502,11
10813,5,1918,6,10443,4
9296,6,14547,1,9728,8
5259,9,19393,0,13968,8
10205,7,2375,2,2421,7
8559,3,11243,7,18177,0
2372,0,17476,9,3774,6
7552,7,1619,0,10097,9
16884,8,19096,3,5078,5
18552,4,18301,10,18182,3
3196,1,1443,8,16515,4
8003,3,638,0,9728,10
12305,2,15047,3,6815,5
11098,7,8784,8,1227,9
15597,0,9691,5,4678,4
10486,0,13169,9,18339,9
19289,7,16010,5,4947,6
12055,2,301,0,4423,4
15429,10,19504,8,15225,1
8270,0,13539,10,4613,2
14441,10,17406,2,4939,0
695,3,2973,11,18916,9
11740,1,6935,8,14192,2
9643,1,13329,3,15665,7
6574,5,17994,1,12143,7
17940,10,13767,7,17080,0
13575,7,18992,7,13642,5
11345,3,16556,5,18951,5
19747,11,9902,10,6072,1
2874,2,17784,1,5480,0
8064,6,568,4,1698,1
15550,2,7210,0,19752,2
15847,7,746,5,13340,7
11907,10,15777,8,5193,2
18456,4,11788,3,7104,9
6146,7,6087,1,3130,7
13174,7,11465,8,11062,10
19371,3,12922,7,978,0
2360,3,9115,6,16104,6
3900,1,3525,8,5697,3
9851,7,12675,4,12358,7
3174,8,15427,4,8111,9
20,7,3965,3,434,0
14601,4,2326,7,16186,6
7148,5,4499,0,1941,9
234,10,16532,1,10578,2
5461,3,16515,4,16436,9
5251,7,9093,2,8751,5
19951,3,13407,3,4295,6
4157,7,5461,0,6548,11
17360,3,3439,2,6006,10
6216,2,11580,2,19740,10
8218,8,721,6,2020,4
14836,4,5428,2,3249,9
6077,11,1000,4,12804,3
12578,4,6137,1,15297,7
15822,1,6590,4,2597,9
14411,4,3532,10,18978,2
17824,5,15831,8,17385,3
8397,2,12333,1,5117,10
7244,3,2369,9,1988,1
334,6,2854,3,5745,6
19528,0,7965,10,14834,1
3166,2,18571,2,14748,6
3672,1,13021,11,9068,0
15380,10,12685,2,14866,7
1821,3,14491,4,4027,8
15584,3,16356,2,17872,5
4383,6,11729,6,13988,1
14272,6,1019,10,13373,5
11216,7,2723,4,12290,4
470,9,6269,0,12175,6
11130,4,5740,11,15128,7
7979,2,8645,3,6863,5
15618,4,1024,3,1998,7
809,0,16216,3,10486,2
1324,2,7117,8,2801,4
9372,5,17811,5,7198,3
19136,2,14391,4,16564,2
2808,11,1603,5,11347,1
10998,2,3391,9,16528,9
14054,5,17079,7,19939,10
18846,6,15038,3,6714,8
9219,2,15470,3,979,1
15025,7,10887,6,5021,4
6894,5,15538,1,1180,4
7295,6,8776,9,16262,4
2118,11,7684,2,2177,11
6612,5,5238,8,8589,8
1653,0,2013,2,6477,6
18294,2,18445,2,7348,2
6277,0,10274,3,2151,7
19338,7,16505,9,14638,10
8392,0,15374,0,6818,1
7468,11,7306,3,15834,6
18665,0,4962,7,12603,5
2982,11,7809,2,9631,10
15181,5,18585,3,17329,2
2862,11,17791,8,14006,5
3999,4,11200,6,17005,10
4039,10,742,3,17881,5
7653,0,16607,10,5827,9
18116,11,12532,2,12046,2
5177,7,10944,1,19230,3
15111,8,3528,5,16678,11
4411,8,5521,3,10166,5
10113,5,14425,3,8664,4
1755,7,14818,5,12205,3
10601,5,10084,0,18567,3
1405,2,11726,9,16302,9
11383,3,19286,4,3759,8
4921,8,1007,4,3143,7
10700,11,12042,4,12125,11
6760,6,18499,11,9948,3
4790,5,3579,2,8106,4
15276,5,9899,10,2319,6
2412,3,19082,4,12097,6
10254,5,12205,9,19822,3
13265,0,17139,11,6733,4
135,1,897,9,15665,9
14478,0,16545,9,17959,2
18449,8,15077,4,18546,2
2753,10,14841,2,10504,11
1759,2,2209,2,9660,6
14589,8,8612,3,14807,0
8712,8,12998,3,19664,7
19536,10,16745,10,6835,5
1350,11,463,11,4347,3
11425,8,16383,0,18622,10
16881,1,15946,1,19298,3
18790,4,5240,4,18317,8
16324,8,14951,10,14223,1
19097,10,16255,6,5787,8
4073,7,6045,3,17026,7
4734,3,1197,0,3035,6
5158,10,13354,4,11483,8
15279,4,12904,4,14302,0
12242,1,6647,11,1283,11
16651,4,1201,0,17913,4
14314,1,6642,1,5132,6
3182,2,9917,7,5562,3
1617,11,13701,4,3241,10
15764,11,12943,7,16980,4
12619,9,16858,5,14302,3
7450,7,1132,0,16725,5
19560,4,8357,4,2071,2
1442,2,405,2,5610,5
16270,3,5252,3,18186,0
2544,4,11851,7,6442,4
3009,5,12206,5,3566,5
14648,8,18544,7,18593,7
2450,1,6134,4,6471,6
2103,4,15801,5,1231,8
11450,7,15425,4,16605,7
15925,6,148,2,14521,3
19929,5,10191,5,502,5
6678,6,962,7,18265,2
5811,5,10559,3,13783,1
16974,0,5005,11,8952,8
11786,11,10463,11,17984,11
16460,4,4238,4,2527,1
17726,4,3745,0,7836,0
17334,6,16746,7,7590,3
10513,7,7914,7,11470,0
14680,5,19469,0,6061,5
16670,4,6607,11,2077,5
1707,11,10888,9,6282,6
10716,9,11032,2,6370,4
9651,0,9537,10,7051,0
19753,4,16811,8,15190,5
15955,3,9117,6,2552,0
8140,2,6013,8,18173,10
18423,5,4052,9,7419,11
9214,10,19135,10,4378,8
13221,5,11402,7,3487,5
5308,8,19067,6,11154,1
15272,1,5192,0,2088,7
5712,6,10265,2,898,2
448,9,14230,8,8902,8
298,5,12541,6,6446,7
1883,6,5974,3,2752,1
2797,7,8346,0,11454,11
13920,9,5576,0,15231,11
12814,8,8942,7,13311,5
15567,9,14787,10,4700,5
13288,5,19848,10,13964,4
9834,0,18382,3,11669,5
10243,11,3617,5,2831,8
6486,11,18429,8,7577,0
9348,0,7974,11,19334,1
3097,4,7021,6,17117,10
17330,2,9338,9,18140,5
13056,5,5511,4,15990,5
15752,3,18309,11,3192,11
4778,5,3414,5,7713,2
3010,3,6510,4,10454,5
4163,8,12968,5,6130,9
1687,6,3672,7,10144,0
9682,11,15169,4,12602,9
17701,7,19929,11,14966,0
13549,10,18680,11,11473,6
14982,1,18190,0,7803,9
83,5,10089,2,8494,2
2377,11,19644,3,14330,9
316,1,2857,9,19419,6
8770,2,6235,8,5180,11
1563,8,13941,3,9065,6
2114,6,7817,10,6820,3
19557,7,17141,10,10633,8
435,5,13579,7,14862,4
2666,8,1104,10,5060,5
6562,4,14486,5,7697,11
10195,7,11130,0,21,4
8038,10,18403,11,2275,6
4354,8,5871,1,1489,7
14858,4,3234,11,15793,3
3898,7,15510,9,14879,7
5763,7,8703,4,14973,9
3670,7,6398,11,5802,8
13959,10,2385,10,6215,5
2797,9,5122,8,14110,10
2002,2,8633,5,8538,6
4620,9,12634,2,19662,9
4411,3,16841,5,13025,4
2251,5,16263,4,14699,7
18042,11,15773,10,10668,3
11197,2,2686,4,18832,9
8616,4,12383,3,18082,7
17704,3,11786,2,12876,3
16241,9,4703,5,19064,4
8295,5,980,5,19594,8
11863,2,13652,1,6747,11
7801,6,18482,6,14591,0
19673,4,7701,10,1610,1
12075,7,1891,1,5557,11
8555,11,11855,3,18926,8
13383,1,1305,6,18980,4
6377,11,232,2,16332,3
17544,11,9458,11,14022,8
12722,5,14334,9,5078,4
3513,10,3549,5,17464,7
14541,0,13651,4,17397,1
11222,0,9875,9,4256,5
4948,10,19178,11,4010,9
12004,10,1237,11,14429,2
12822,7,15323,9,17433,7
4398,0,1057,2,16813,6
7279,7,10737,5,15456,5
17202,5,988,0,5158,3
2698,10,9956,4,9051,10
9049,7,19072,4,831,9
875,1,7743,0,9511,8
2341,2,15710,1,7616,8
5661,3,11351,0,9092,1
18459,11,16458,10,19860,8
5691,4,9522,11,625,4
7972,3,4710,7,4217,10
14041,10,333,1,317,1
9588,9,5084,4,17658,7
16652,4,8576,9,15131,11
13239,5,13264,5,11110,0
16978,1,19564,6,13104,5
17543,5,8077,6,11046,8
4410,6,7692,1,13877,1
19073,2,11625,5,8519,7
19574,2,18139,4,4939,2
18426,11,11490,11,13534,11
7424,8,7986,0,665,2
15001,1,8595,0,19257,6
16845,4,1183,5,14269,4
8080,1,2710,11,15158,2
9971,0,14736,4,9249,6
7454,11,9080,4,11201,7
4552,1,17917,9,14983,3
18834,9,1432,3,16015,4
2276,7,16691,7,5907,1
8739,8,19334,10,14620,0
10299,0,8023,8,2274,11
13888,3,14542,0,18096,5
13968,0,2269,11,6837,10
18781,11,10428,6,3115,11
19077,7,16110,8,5592,2
5512,11,8643,3,7571,1
3032,11,16750,2,4083,6
5777,5,7802,10,18903,8
4184,6,2121,5,9849,10
16811,11,9157,10,2630,7
14070,0,17090,10,18966,9
11444,5,8701,1,13583,6
6039,5,12965,2,187,5
16844,3,8467,5,1848,11
6299,6,6089,3,12449,5
3889,11,1024,3,1812,10
14266,2,14384,11,3315,6
8367,4,8562,9,3589,1
14643,3,11520,9,8761,0
4650,8,13926,6,3692,9
11583,3,276,1,2773,1
5869,9,7738,0,15163,9
18559,2,8992,0,2137,6
5776,8,19589,4,2053,0
6052,9,14497,10,11237,7
10358,9,18718,8,18667,6
1873,8,740,6,14023,6
13277,10,11003,5,13373,9
19923,9,11251,1,8606,8
14711,10,5911,2,8984,6
141,6,9271,9,19900,3
1284,0,587,4,6672,0
14658,11,10457,9,15752,10
14675,0,18667,5,942,10
9743,6,2906,3,456,9
5000,4,16564,10,15018,8
17511,7,7222,6,2346,11
9934,9,14409,0,14965,7
766,1,796,3,8620,3
15071,5,3967,8,7850,0
11851,10,15987,1,10993,7
10067,2,17192,6,6132,5
4241,2,16819,4,10802,9
5997,8,19120,4,7620,9
3110,1,16131,1,16240,11
19675,3,17324,11,6599,1
11635,2,11393,11,18806,11
18790,11,8917,5,6717,1
2068,5,16805,5,14598,7
6283,0,6865,9,16813,11
17829,6,17247,1,8637,8
7210,5,7676,2,18899,10
12289,2,13767,1,6115,0
7110,3,12028,5,3986,7
3118,5,10100,7,6346,8
2417,8,4482,1,19188,10
5856,10,2990,9,17360,8
13511,5,2272,2,12803,8
14120,6,9254,8,7013,8
4222,4,8212,6,7853,10
10355,3,5116,2,2549,8
8802,1,13964,1,16153,6
9913,3,17801,4,5745,8
4551,0,14893,7,11719,5
4357,11,11352,4,6324,8
7470,7,4582,10,12040,11
4260,6,913,11,9571,1
939,6,3038,1,2888,2
13306,0,15054,10,16796,7
8131,0,6002,2,6660,3
18759,0,12126,1,4879,11
16704,4,778,3,10053,9
12572,0,15113,0,14823,6
2145,10,18837,8,931,8
8814,9,2172,0,12310,10
16000,6,6005,9,1954,7
6263,4,405,3,4608,9
5399,7,18313,9,18872,8
12842,9,10098,4,5209,1
6012,9,102,8,6371,11
9240,9,16128,5,14417,2
2855,5,11898,4,7655,5
11344,3,5561,5,6711,0
5741,0,13272,6,17368,9
16159,3,9005,0,9004,8
1554,8,10061,8,5871,9
6786,7,8368,2,3743,4
9091,8,7829,2,15745,11
1946,6,7696,5,9125,7
7403,3,7182,5,3597,10
18337,5,8720,3,9498,10
15599,1,4878,10,11436,10
2294,7,6872,7,9807,6
17189,7,10658,1,4907,3
13877,6,15615,11,3307,7
8823,2,2163,1,2946,0
10607,0,12295,9,15943,1
16259,0,11611,8,11834,9
8231,1,8881,5,15776,11
13890,6,15715,5,4071,2
17134,11,10474,10,15172,4
16995,7,14895,6,7172,1
14112,10,17870,9,10394,4
9705,0,11365,2,757,5
9331,8,3680,5,3717,1
18661,4,4247,0,7122,9
18823,0,4377,8,29,9
10724,5,14313,5,8403,11
8942,3,10246,0,18332,4
4889,1,16324,1,17984,11
7298,0,836,3,4105,7
18325,10,14478,6,5613,5
4696,8,16430,2,9107,3
7388,5,18894,7,15621,2
9086,0,7907,9,551,8
14678,7,14717,9,4681,0
16984,7,14097,9,8970,11
19594,9,9602,11,11207,11
11806,0,11717,9,1369,7
3975,10,17467,10,2958,1
16766,10,4649,6,4475,5
19812,6,8540,9,8865,2
8149,1,11689,10,16954,4
9411,9,8499,0,7629,4
11507,5,3993,0,18403,1
10846,4,15640,8,10686,2
13775,0,14691,6,9291,7
6423,8,18827,9,15204,6
6288,7,10466,3,8101,1
9525,8,4864,9,16756,8
7358,11,18000,1,4294,10
9374,1,2515,6,14392,0
19769,7,5258,2,6449,0
19514,3,18222,9,8671,3
8409,1,11068,11,15552,9
17756,4,14086,1,11938,2
2265,10,19129,3,4869,9
8529,5,16177,0,3404,6
19810,7,19168,6,11174,3
4084,8,6138,9,15228,1
3751,8,17559,5,12036,2
11928,1,831,5,6140,9
1988,0,15092,1,2666,6
5633,5,1901,3,17329,10
1311,5,34,7,17216,9
4400,1,181,7,8141,8
6551,1,6303,8,10768,0
1629,2,14398,5,10243,11
16382,8,7041,2,1633,10
6592,1,14262,3,2312,1
7718,0,12206,5,12682,6
14119,0,9100,0,8759,0
5976,4,9756,10,13774,3
5355,11,7552,4,2477,2
16758,3,3973,2,17282,0
19832,2,16662,8,13904,10
19146,1,2938,2,19394,1
720,5,9081,11,13097,9
2842,0,12973,1,18434,2
5164,2,13677,7,6327,11
9043,10,1734,8,15205,11
